TrainingUpdate,CriticLoss,CriticLoss1,CriticLoss2,ActorLoss,AlphaLoss,EntropyWeight,LogAlpha,QValue
1,0.021061934530735016,0.02106449566781521,0.021059375256299973,-4.428979873657227,1.0765398740768433,0.31967392563819885,-1.140453815460205,3.9919333457946777
2,0.01903783157467842,0.019037963822484016,0.019037697464227676,-4.4318413734436035,1.0794214010238647,0.3196010887622833,-1.1406816244125366,3.991766929626465
3,0.04510423541069031,0.04508432000875473,0.045124150812625885,-4.426297664642334,1.0743424892425537,0.3195283114910126,-1.1409094333648682,3.9911575317382812
4,0.014348335564136505,0.014351263642311096,0.014345407485961914,-4.4296488761901855,1.0780909061431885,0.31945547461509705,-1.1411373615264893,3.990614891052246
5,0.023304227739572525,0.023290453478693962,0.023318002000451088,-4.431537628173828,1.0803704261779785,0.3193826675415039,-1.1413652896881104,3.9900779724121094
6,0.02997054159641266,0.029963325709104538,0.02997775748372078,-4.422656059265137,1.0724246501922607,0.31930989027023315,-1.1415932178497314,3.9889962673187256
7,0.026085112243890762,0.02606840245425701,0.026101823896169662,-4.426558017730713,1.0768301486968994,0.3192371129989624,-1.1418211460113525,3.988347053527832
8,0.043262381106615067,0.04324020445346832,0.04328455775976181,-4.425979137420654,1.077283263206482,0.31916433572769165,-1.1420491933822632,3.9871699810028076
9,0.03542080521583557,0.035428907722234726,0.035412706434726715,-4.423471450805664,1.0757242441177368,0.3190915584564209,-1.1422772407531738,3.986076593399048
10,0.061161573976278305,0.06112058460712433,0.06120256334543228,-4.422433853149414,1.0755459070205688,0.31901878118515015,-1.1425052881240845,3.985071897506714
11,0.028575975447893143,0.028547171503305435,0.02860477939248085,-4.425426006317139,1.079658031463623,0.3189460039138794,-1.1427334547042847,3.983804941177368
12,0.047335993498563766,0.04727354273200035,0.04739844426512718,-4.414418697357178,1.0702850818634033,0.3188732862472534,-1.1429615020751953,3.9820258617401123
13,0.035071760416030884,0.03503616899251938,0.03510734811425209,-4.415695667266846,1.0735204219818115,0.31880056858062744,-1.143189549446106,3.979921579360962
14,0.0218521635979414,0.021852344274520874,0.021851982921361923,-4.409714221954346,1.0692145824432373,0.31872791051864624,-1.143417477607727,3.978100299835205
15,0.046243682503700256,0.04622751846909523,0.04625984653830528,-4.4129557609558105,1.074064016342163,0.3186552822589874,-1.1436454057693481,3.9763481616973877
16,0.03415977209806442,0.03411167860031128,0.03420786187052727,-4.411037921905518,1.0736041069030762,0.3185826539993286,-1.1438733339309692,3.9747443199157715
17,0.03513936698436737,0.035144343972206116,0.035134393721818924,-4.404865264892578,1.0689969062805176,0.3185100555419922,-1.1441012620925903,3.973034381866455
18,0.022992180660367012,0.02294377237558365,0.023040588945150375,-4.408770561218262,1.0741462707519531,0.31843745708465576,-1.1443291902542114,3.971644163131714
19,0.046380139887332916,0.046295031905174255,0.04646524414420128,-4.405065536499023,1.0723778009414673,0.3183648884296417,-1.1445571184158325,3.9695615768432617
20,0.04292285442352295,0.04290549457073212,0.04294021800160408,-4.404719352722168,1.0739296674728394,0.3182923197746277,-1.1447850465774536,3.9675192832946777
21,0.02493436262011528,0.024975890293717384,0.024892834946513176,-4.400132179260254,1.0708491802215576,0.31821978092193604,-1.1450129747390747,3.965867519378662
22,0.020775511860847473,0.020808402448892593,0.020742619410157204,-4.396083354949951,1.0676689147949219,0.31814730167388916,-1.1452407836914062,3.9648540019989014
23,0.03411243483424187,0.03406894579529762,0.03415592387318611,-4.397089958190918,1.0696839094161987,0.3180748522281647,-1.1454685926437378,3.963701009750366
24,0.025430485606193542,0.025532936677336693,0.025328034535050392,-4.397365093231201,1.0708822011947632,0.3180023729801178,-1.1456964015960693,3.962632417678833
25,0.023019976913928986,0.023016223683953285,0.023023730143904686,-4.396777629852295,1.0703542232513428,0.3179299533367157,-1.1459242105484009,3.962428331375122
26,0.022044489160180092,0.0220707468688488,0.022018231451511383,-4.3975677490234375,1.0715255737304688,0.3178575336933136,-1.1461520195007324,3.961902141571045
27,0.03788337856531143,0.037877291440963745,0.03788946941494942,-4.393662929534912,1.0679304599761963,0.3177851438522339,-1.146379828453064,3.9614474773406982
28,0.03612372279167175,0.036077629774808884,0.036169812083244324,-4.403543472290039,1.0782526731491089,0.317712664604187,-1.1466078758239746,3.9608609676361084
29,0.028590895235538483,0.028625771403312683,0.02855602093040943,-4.3888630867004395,1.063880443572998,0.3176403045654297,-1.1468356847763062,3.9604074954986572
30,0.02996368333697319,0.03001244366168976,0.02991492487490177,-4.395329475402832,1.070373296737671,0.31756791472435,-1.1470636129379272,3.9602365493774414
31,0.033948060125112534,0.03390840068459511,0.03398771956562996,-4.395975589752197,1.0709055662155151,0.31749552488327026,-1.1472915410995483,3.9602060317993164
