EpisodeIndex,EpisodeReward,EpisodeSteps,AverageReward,TotalAgentSteps,EpisodeQ0,EvaluationStatistic,BufferSize,CriticLoss,ActorLoss,AlphaLoss,EntropyWeight,QValue
636,-63.223116546677325,50,-63.223116546677325,55550,-5.065725326538086,,20000,0.009776643477380276,4.210822582244873,0.1659417450428009,0.04999999701976776,-4.276764392852783
637,-36.17114988833676,50,-49.697133217507044,55600,-3.3860666751861572,,20000,0.016701659187674522,4.487354755401611,0.16511690616607666,0.04999999701976776,-4.55247163772583
638,-25.991549863035395,50,-41.79527209934983,55650,-4.095898628234863,,20000,0.010040214285254478,3.959019184112549,0.1652907431125641,0.04999999701976776,-4.0243096351623535
639,-17.346941836015212,50,-35.68318953351618,55700,-0.8312920331954956,,20000,0.011268097907304764,4.221786022186279,0.16416682302951813,0.04999999701976776,-4.285953044891357
640,-68.11840601232116,50,-42.170232829277175,55750,-4.913753986358643,-27.322725199402576,20000,0.016026649624109268,4.145402908325195,0.16593679785728455,0.04999999701976776,-4.211340427398682
641,-35.5494629978076,50,-41.066771190698915,55800,-2.1545801162719727,,20000,0.012575903907418251,3.8126001358032227,0.16548289358615875,0.04999999701976776,-3.8780829906463623
642,-36.69366369417723,50,-40.44204154833868,55850,-3.304170608520508,,20000,0.007480704225599766,4.334563732147217,0.16579242050647736,0.04999999701976776,-4.400355815887451
643,-49.665485007660834,50,-41.59497198075394,55900,-4.567678451538086,,20000,0.013359878212213516,4.288603782653809,0.1647578924894333,0.04999999701976776,-4.3533616065979
644,-27.713871272365374,50,-40.052627457599655,55950,-1.4777452945709229,,20000,0.013840161263942719,4.332510471343994,0.1657305210828781,0.04999999701976776,-4.39824104309082
645,-68.83801970543732,50,-42.93116668238342,56000,-5.374500751495361,-30.99345329963706,20000,0.014116445556282997,4.3026251792907715,0.16579477488994598,0.04999999701976776,-4.368420124053955
646,-16.439702660604308,50,-40.522851771312595,56050,-2.219656467437744,,20000,0.01738891378045082,4.28187894821167,0.1652299463748932,0.04999999701976776,-4.347108840942383
647,-75.8435624657592,50,-43.46624432918315,56100,-4.835633754730225,,20000,0.03261122852563858,4.271054744720459,0.16618302464485168,0.04999999701976776,-4.337238311767578
648,-34.00690598213019,50,-42.73860291787138,56150,-3.8897294998168945,,20000,0.01989356055855751,4.159137725830078,0.16572305560112,0.04999999701976776,-4.224860668182373
649,-22.04460605121941,50,-41.26046028453909,56200,-2.526198148727417,,20000,0.030267789959907532,4.206496238708496,0.16642744839191437,0.04999999701976776,-4.272923469543457
650,-41.51914482493472,50,-41.277705920565474,56250,-3.878591775894165,-45.253461452730654,20000,0.011906076222658157,4.513777732849121,0.16701047122478485,0.04999999701976776,-4.5807881355285645
651,-32.080915010263155,50,-40.70290648867157,56300,-2.1807360649108887,,20000,0.04856855422258377,4.462090492248535,0.1655997633934021,0.04999999701976776,-4.527690410614014
652,-65.12055644600397,50,-42.139238839102894,56350,-4.89339542388916,,20000,0.012632736004889011,4.2495808601379395,0.16689985990524292,0.04999999701976776,-4.3164801597595215
653,-60.49248836914802,50,-43.15886381299429,56400,-5.094270706176758,,20000,0.018441472202539444,4.571669101715088,0.1664830595254898,0.04999999701976776,-4.6381516456604
654,-63.3781018134642,50,-44.223034234071655,56450,-4.871298313140869,,20000,0.011807352304458618,4.667729377746582,0.16609719395637512,0.04999999701976776,-4.733826637268066
