TrainingUpdate,CriticLoss,CriticLoss1,CriticLoss2,ActorLoss,AlphaLoss,EntropyWeight,LogAlpha,QValue
1,0.010384488850831985,0.010484360158443451,0.010284618474543095,3.89654541015625,0.16551467776298523,0.04999999701976776,-2.995732307434082,-3.96205997467041
2,0.009776643477380276,0.0099869966506958,0.00956629030406475,4.210822582244873,0.1659417450428009,0.04999999701976776,-2.995732307434082,-4.276764392852783
3,0.010209775529801846,0.01033060159534216,0.010088949464261532,4.183598041534424,0.16539910435676575,0.04999999701976776,-2.995732307434082,-4.248997211456299
4,0.016701659187674522,0.016943801194429398,0.016459517180919647,4.487354755401611,0.16511690616607666,0.04999999701976776,-2.995732307434082,-4.55247163772583
5,0.010350773110985756,0.01063449215143919,0.010067054070532322,3.9979755878448486,0.1660962700843811,0.04999999701976776,-2.995732307434082,-4.064072608947754
6,0.010040214285254478,0.009373881854116917,0.010706547647714615,3.959019184112549,0.1652907431125641,0.04999999701976776,-2.995732307434082,-4.0243096351623535
7,0.008941944688558578,0.00886999536305666,0.009013894014060497,4.205930709838867,0.16538193821907043,0.04999999701976776,-2.995732307434082,-4.271312713623047
8,0.011268097907304764,0.010835688561201096,0.011700508184731007,4.221786022186279,0.16416682302951813,0.04999999701976776,-2.995732307434082,-4.285953044891357
9,0.009681127965450287,0.009934283792972565,0.009427973069250584,4.1460771560668945,0.16506080329418182,0.04999999701976776,-2.995732307434082,-4.211137771606445
10,0.016026649624109268,0.014509983360767365,0.017543315887451172,4.145402908325195,0.16593679785728455,0.04999999701976776,-2.995732307434082,-4.211340427398682
11,0.01871999353170395,0.01866970956325531,0.018770279362797737,4.217174053192139,0.16616927087306976,0.04999999701976776,-2.995732307434082,-4.28334379196167
12,0.012575903907418251,0.012729976326227188,0.012421832419931889,3.8126001358032227,0.16548289358615875,0.04999999701976776,-2.995732307434082,-3.8780829906463623
13,0.012334007769823074,0.012435786426067352,0.012232228182256222,4.335180282592773,0.16375181078910828,0.04999999701976776,-2.995732307434082,-4.398931980133057
14,0.007480704225599766,0.006856387015432119,0.008105020970106125,4.334563732147217,0.16579242050647736,0.04999999701976776,-2.995732307434082,-4.400355815887451
15,0.01050221174955368,0.010579097084701061,0.0104253264144063,4.038586139678955,0.16626162827014923,0.04999999701976776,-2.995732307434082,-4.104848384857178
16,0.013359878212213516,0.012604986317455769,0.01411476917564869,4.288603782653809,0.1647578924894333,0.04999999701976776,-2.995732307434082,-4.3533616065979
17,0.012450963258743286,0.013199666514992714,0.011702260933816433,4.413293838500977,0.16641798615455627,0.04999999701976776,-2.995732307434082,-4.479711055755615
